"person_gender","person_education","loan_int_rate","loan_percent_income","credit_score","loan_status"
"male","Bachelor",7.51,0.07,595,0
"male","Bachelor",13.48,0.26,642,0
"male","High School",7.75,0.06,654,0
"female","Master",13.57,0.14,677,0
"female","Bachelor",10.74,0.06,659,0
"female","Bachelor",10,0.06,632,0
"male","High School",10.37,0.06,657,0
"male","High School",8,0.12,655,0
"male","Bachelor",9.99,0.06,597,1
"male","Associate",11.01,0.07,573,0
"female","High School",7.51,0.05,650,0
"male","High School",15.33,0.05,562,0
"female","Master",11.83,0.05,677,0
"female","Master",13.47,0.06,671,1
"male","Associate",12.21,0.05,626,0
"female","Associate",12.22,0.15,678,0
"female","Associate",13.06,0.05,579,0
"female","Associate",8.32,0.13,654,0
"female","Bachelor",10.59,0.05,600,0
"male","Associate",14.75,0.06,665,1
"female","Bachelor",8.9,0.05,675,0
"male","Bachelor",10.37,0.05,698,0
"female","High School",11.49,0.05,657,0
"female","High School",11.01,0.05,639,0
"male","Associate",11.01,0.05,586,0
"male","Bachelor",12.69,0.29,611,0
"female","High School",7.9,0.2,635,0
"female","High School",7.51,0.05,619,0
"male","Associate",6.62,0.05,607,0
"male","High School",13.49,0.24,639,0
"female","Associate",5.42,0.05,607,0
"female","High School",7.49,0.05,649,0
"male","Associate",12.23,0.05,632,0
"male","Associate",9.91,0.37,685,0
"female","Bachelor",16,0.05,620,1
"male","Bachelor",11.01,0.05,685,0
"female","Master",6.76,0.05,636,0
"male","Bachelor",13.49,0.24,672,0
"female","Bachelor",6.76,0.05,710,0
"male","Associate",11.12,0.05,622,1
"female","Bachelor",7.74,0.05,598,0
"male","Master",11.01,0.05,635,1
"female","Bachelor",7.9,0.05,674,0
"female","Associate",5.99,0.05,630,0
"male","High School",13.49,0.05,616,0
"female","Master",10.65,0.12,633,0
"male","High School",13.06,0.05,537,0
"male","High School",13.85,0.05,640,0
"female","Master",14.27,0.29,678,1
"male","High School",11.01,0.15,621,0
"male","High School",7.88,0.05,517,0
"female","Bachelor",11.49,0.04,635,0
"male","Bachelor",6.03,0.1,610,0
"female","Master",11.71,0.11,636,1
"male","Bachelor",6.03,0.04,580,0
"male","High School",6.62,0.1,596,0
"male","High School",12.42,0.15,577,0
"female","Bachelor",11.01,0.12,686,0
"male","High School",11.71,0.04,596,0
"female","Bachelor",11.01,0.04,676,0
"male","High School",12.42,0.11,612,0
"male","Bachelor",10.59,0.04,675,0
"male","Associate",6.03,0.2,714,0
"female","Master",14.46,0.04,636,0
"male","Master",11.12,0.04,692,0
"female","Associate",10.65,0.14,610,0
"female","Master",12.53,0.04,631,0
"female","Bachelor",13.48,0.04,708,0
"male","Associate",10.65,0.13,534,1
"female","Bachelor",5.42,0.04,673,0
"male","Associate",5.42,0.04,687,0
"male","High School",7.9,0.03,624,0
"male","Master",11.49,0.03,613,0
"male","Bachelor",12.42,0.3,491,0
"female","High School",9.91,0.13,639,0
"female","Bachelor",9.32,0.03,617,0
"male","Bachelor",7.51,0.15,667,0
"male","Bachelor",7.14,0.04,673,1
"male","Master",6.62,0.09,649,0
"male","Bachelor",7.9,0.04,657,0
"female","Associate",14.27,0.05,620,0
"male","Associate",17.58,0.1,649,1
"female","Associate",10.99,0.03,575,0
"female","High School",10.51,0.03,599,1
"female","Bachelor",12.84,0.03,628,0
"male","Bachelor",6.62,0.1,537,0
"female","Master",14.84,0.02,670,1
"female","Associate",13.11,0.22,542,1
"female","High School",11.01,0.21,554,1
"female","Master",11.01,0.18,669,1
"female","Bachelor",11.01,0.16,644,0
"male","Bachelor",9.91,0.2,619,0
"female","Bachelor",15.23,0.16,567,0
"male","Master",15.2,0.15,658,1
"female","Master",7.51,0.08,698,0
"male","Associate",11.01,0.14,713,0
"female","Associate",14.26,0.14,592,0
"male","High School",16,0.13,665,1
"female","High School",9.91,0.12,589,1
"male","Bachelor",11.01,0.16,687,0
"male","Master",11.01,0.12,580,0
"female","Bachelor",9.91,0.11,691,0
"female","Associate",16.49,0.11,621,1
"female","High School",15.99,0.11,638,0
"male","Associate",12.98,0.28,590,1
"male","Bachelor",11.01,0.04,694,0
"female","Associate",11.54,0.16,651,0
"female","Master",5.42,0.15,688,0
"female","Master",6.03,0.12,589,0
"female","Bachelor",8.49,0.1,676,0
"female","Bachelor",9.99,0.08,622,0
"male","Associate",8.49,0.05,653,0
"female","Master",7.49,0.07,655,0
"female","Bachelor",11.01,0.24,662,1
"female","Bachelor",10.99,0.08,638,0
"female","Master",11.99,0.12,591,0
"male","Bachelor",12.69,0.23,645,1
"male","Master",9.99,0.21,578,1
"male","Master",16.4,0.16,607,1
"female","Bachelor",5.79,0.14,538,0
"female","Bachelor",8.49,0.07,613,0
"male","High School",19.91,0.24,581,1
"male","Master",11.49,0.19,647,1
"male","High School",6.91,0.17,653,0
"female","Associate",6.76,0.14,639,0
"female","High School",12.99,0.04,624,0
"male","High School",8.49,0.11,628,0
"male","Associate",5.42,0.1,644,0
"male","High School",14.79,0.12,658,0
"female","Master",7.49,0.15,705,0
"female","High School",15.99,0.36,531,1
"male","Associate",11.71,0.09,586,0
"female","Associate",11.99,0.08,605,1
"female","Associate",12.99,0.1,597,0
"male","Bachelor",16.77,0.07,636,1
"female","Associate",15.23,0.06,551,0
"male","Master",11.01,0.05,603,0
"male","Associate",19.03,0.05,536,0
"male","High School",9.99,0.26,653,0
"male","Bachelor",13.8,0.04,627,0
"male","High School",11.49,0.11,642,0
"male","Associate",9.32,0.09,525,0
"female","Associate",7.42,0.11,485,0
"male","High School",7.49,0.29,627,0
"male","High School",7.88,0.24,699,1
"female","Associate",10.99,0.09,556,0
"male","Master",13.49,0.07,664,0
"female","Associate",10.99,0.07,554,0
"female","High School",5.99,0.23,636,1
"female","Bachelor",7.51,0.23,545,1
"male","Master",11.49,0.15,673,0
"male","Master",8.49,0.06,602,0
"female","High School",13.99,0.2,649,1
"male","Associate",8.49,0.22,708,0
"female","Master",7.49,0.2,692,1
"female","Master",7.49,0.3,608,0
"male","High School",11.99,0.06,690,0
"female","Bachelor",11.01,0.27,617,0
"male","Associate",10.99,0.04,632,0
"male","Master",10.38,0.2,670,1
"female","High School",9.99,0.05,622,0
"female","Master",12.21,0.2,712,1
"male","Bachelor",8.94,0.2,639,1
"male","Associate",5.79,0.2,687,0
"female","Master",13.61,0.2,596,1
"male","High School",10.74,0.09,660,0
"female","Associate",13.49,0.18,595,0
"male","High School",11.11,0.04,548,0
"male","Bachelor",8,0.18,632,0
"male","Associate",10.99,0.18,622,0
"male","High School",9.62,0.17,585,0
"female","Master",16.45,0.17,625,1
"male","Bachelor",7.66,0.22,681,0
"female","High School",15.65,0.17,619,1
"male","High School",17.99,0.16,584,1
"female","Associate",14.17,0.1,659,1
"male","Bachelor",11.11,0.15,528,0
"male","Master",9.62,0.15,683,0
"male","Associate",12.42,0.15,717,0
"male","Master",11.11,0.1,635,0
"male","Bachelor",5.79,0.15,593,0
"male","Associate",11.49,0.15,648,0
"male","High School",7.29,0.08,668,0
"male","Associate",8.94,0.15,670,0
"male","Bachelor",9.99,0.14,588,0
"male","Bachelor",8.49,0.14,667,1
"male","Associate",6.92,0.12,656,0
"male","Bachelor",7.29,0.12,580,0
"female","Bachelor",7.49,0.11,639,0
"female","Bachelor",5.42,0.1,595,0
"female","Bachelor",7.88,0.11,681,0
"male","High School",15.05,0.11,649,1
"female","Associate",6.92,0.16,668,0
"male","Master",14.27,0.1,629,0
"female","High School",10.59,0.1,657,0
"male","Bachelor",12.87,0.11,652,0
"male","High School",10.74,0.16,628,0
"female","Associate",11.01,0.29,521,0
"female","High School",6.62,0.1,603,0
"female","High School",11.01,0.33,542,0
"male","Associate",6.91,0.29,597,1
"male","Bachelor",6.17,0.1,495,0
"male","Bachelor",7.14,0.1,667,0
"female","Associate",9.25,0.12,619,0
"male","Associate",11.03,0.1,517,0
"male","High School",8.88,0.14,627,0
"male","High School",5.42,0.1,636,0
"female","High School",6.91,0.14,641,0
"male","Associate",9.63,0.11,536,1
"female","High School",10.83,0.1,638,0
"male","Associate",7.88,0.1,659,0
"female","Master",14.09,0.17,578,1
"female","Master",10.99,0.09,694,0
"female","Bachelor",13.43,0.09,649,0
"female","High School",7.66,0.09,599,0
"female","Master",7.74,0.09,634,0
"female","Master",14.83,0.24,681,0
"male","Bachelor",12.84,0.09,636,0
"female","Bachelor",10.36,0.08,680,0
"male","Associate",14.84,0.11,618,1
"female","Bachelor",12.99,0.09,623,0
"female","Associate",12.61,0.1,540,0
"male","Master",17.27,0.1,548,1
"male","High School",8.88,0.07,630,0
"male","High School",5.42,0.11,640,0
"male","High School",6.03,0.09,625,0
"female","High School",11.49,0.09,639,0
"female","Master",5.79,0.12,543,0
"male","Bachelor",7.66,0.09,655,0
"male","Associate",6.76,0.08,628,0
"female","Associate",5.99,0.08,671,0
"male","Master",7.74,0.08,704,0
"female","High School",9.25,0.08,653,0
"male","High School",13.49,0.09,588,1
"female","Associate",11.01,0.1,635,0
"male","High School",11.11,0.08,627,0
"female","Bachelor",12.21,0.08,559,0
"female","High School",14.46,0.08,641,1
"male","Associate",5.79,0.08,624,1
"male","High School",6.76,0.05,563,0
"female","Bachelor",6.76,0.02,602,0
"male","Associate",6.76,0.07,661,0
"female","High School",7.14,0.07,592,0
"female","Bachelor",11.86,0.2,630,0
"male","Associate",9.76,0.08,450,1
"male","Associate",15.21,0.19,541,1
"female","Associate",11.01,0.07,585,0
"male","Bachelor",7.14,0.08,524,0
"male","High School",14.35,0.04,640,0
"female","Associate",7.9,0.07,649,0
"female","Master",8.49,0.07,602,0
"female","Associate",6.76,0.07,530,0
"male","Associate",13.98,0.31,543,0
"male","Bachelor",11.01,0.16,613,0
"female","Bachelor",6.03,0.06,603,0
"male","Bachelor",12.68,0.06,683,0
"male","Master",10.38,0.16,700,0
"male","Associate",8.49,0.07,542,1
"male","Associate",11.01,0.07,661,1
"male","Associate",12.42,0.06,574,0
"male","High School",7.14,0.16,467,0
"male","High School",10.99,0.06,596,1
"male","Bachelor",6.39,0.08,554,0
"male","Bachelor",12.18,0.05,612,0
"male","Master",8.63,0.05,644,0
"female","High School",13.06,0.05,606,0
"female","Associate",7.42,0.05,656,0
"male","Bachelor",12.18,0.04,669,0
"male","Bachelor",11.01,0.04,600,0
"male","Master",11.36,0.21,614,0
"male","High School",9.88,0.2,589,0
"male","Associate",10.25,0.11,654,0
"male","High School",13.43,0.03,668,0
"female","Master",13.72,0.17,579,0
"male","Master",10.62,0.24,714,1
"female","Master",12.84,0.12,647,0
"male","Bachelor",15.23,0.09,674,0
"male","Bachelor",13.57,0.03,690,0
"male","High School",13.99,0.16,461,0
"female","High School",6.03,0.13,613,0
"male","High School",10.62,0.12,659,0
"male","Master",11.01,0.13,668,0
"male","Bachelor",11.01,0.12,657,0
"male","Bachelor",11.01,0.1,585,0
"male","High School",11.71,0.11,597,0
"female","Master",10.59,0.09,669,0
"female","Bachelor",7.14,0.2,654,0
"female","High School",11.01,0.08,644,0
"female","Bachelor",7.51,0.18,563,0
"female","Associate",11.01,0.1,682,0
"female","High School",13.99,0.09,628,1
"female","Bachelor",8.59,0.07,646,0
"female","Bachelor",11.01,0.16,618,0
"female","Master",14.96,0.07,600,1
"female","Bachelor",15.62,0.07,633,1
"male","High School",7.14,0.08,543,0
"female","Bachelor",9.88,0.25,666,0
"male","Master",13.48,0.14,632,1
"male","Bachelor",12.73,0.08,695,0
"male","High School",9.99,0.05,656,0
"female","High School",8.49,0.04,681,0
"male","High School",14.22,0.13,649,0
"male","High School",9.99,0.17,688,0
"male","Bachelor",9.88,0.31,648,0
"female","High School",11.83,0.2,638,0
"female","High School",9.32,0.12,638,0
"male","Associate",10.99,0.08,621,0
"female","High School",8.94,0.12,644,0
"female","Associate",12.09,0.1,593,0
"male","Bachelor",8.94,0.18,677,0
"male","Bachelor",7.9,0.09,637,0
"female","High School",11.83,0.04,634,0
"female","Associate",10.96,0.09,617,0
"female","Bachelor",11.22,0.19,664,1
"male","High School",6.54,0.14,613,0
"female","Master",13.22,0.15,616,0
"male","Associate",10.75,0.31,587,1
"male","Bachelor",12.73,0.27,678,1
"male","Associate",14.61,0.26,642,1
"male","Bachelor",10.25,0.27,637,1
"male","High School",11.11,0.26,637,1
"male","High School",11.14,0.18,623,0
"female","Associate",8.49,0.25,624,1
"male","High School",13.85,0.24,634,1
"female","Associate",13.16,0.24,687,1
"female","Bachelor",11.14,0.24,655,0
"male","Bachelor",11.49,0.19,692,0
"male","High School",12.98,0.19,592,0
"female","High School",7.4,0.07,664,0
"female","Associate",11.01,0.18,623,0
"male","Master",10.38,0.16,588,0
"male","Master",10.62,0.16,705,0
"female","Bachelor",12.23,0.15,632,0
"female","Bachelor",15.31,0.24,641,1
"male","Associate",11.01,0.13,671,0
"male","Bachelor",11.48,0.12,637,0
"male","High School",15.65,0.06,588,0
"male","Bachelor",11.48,0.08,572,0
"male","Associate",12.53,0.28,522,1
"female","High School",8.49,0.25,666,1
"female","Associate",16.95,0.26,589,1
"male","Bachelor",15.37,0.24,639,1
"male","Associate",10.99,0.2,681,1
"male","Bachelor",7.49,0.19,623,0
"female","High School",11.14,0.19,654,0
"female","Master",8.59,0.1,676,0
"female","Master",9.32,0.14,532,0
"male","Bachelor",11.01,0.19,677,0
"female","Associate",12.84,0.22,619,0
"female","Associate",12.21,0.07,657,0
"female","Bachelor",10.75,0.18,686,0
"female","Master",7.75,0.18,655,0
"male","Bachelor",13.49,0.18,559,0
"male","Bachelor",7.88,0.17,679,0
"female","Associate",8,0.07,656,0
"male","Bachelor",15.68,0.23,648,1
"female","Associate",6.17,0.17,681,0
"female","Bachelor",11.86,0.16,670,0
"male","Master",11.01,0.2,641,0
"male","Master",7.49,0.16,598,0
"male","Master",11.01,0.16,656,0
"male","Associate",10.65,0.16,448,0
"female","High School",10.65,0.15,535,0
"male","Bachelor",10.99,0.15,676,0
"female","Bachelor",13.35,0.15,648,0
"male","Associate",11.01,0.15,552,0
"male","Bachelor",13.49,0.14,621,0
"male","Associate",7.51,0.14,525,0
"female","Master",16,0.16,720,0
"male","High School",6.62,0.14,598,0
"female","Doctorate",9.25,0.14,691,0
"male","Master",12.99,0.14,695,0
"male","High School",10.51,0.07,642,1
"female","Master",11.99,0.13,648,0
"male","High School",10.83,0.02,655,0
"male","Bachelor",6.99,0.13,684,0
"female","High School",7.49,0.13,680,0
"male","High School",11.49,0.13,606,0
"male","High School",13.35,0.13,610,0
"male","Bachelor",11.01,0.13,652,0
"female","Associate",10.08,0.11,685,0
"female","High School",11.22,0.13,677,0
"male","Associate",7.37,0.02,645,0
"male","Bachelor",7.68,0.1,681,0
"female","Master",10.37,0.12,614,0
"female","Associate",10.59,0.12,660,0
"male","Associate",16.49,0.12,621,1
"male","Master",11.11,0.12,661,0
"female","Master",7.14,0.12,674,0
"female","Bachelor",9.76,0.16,686,0
"male","Associate",13.61,0.12,689,0
"male","Bachelor",11.99,0.12,619,0
"male","Bachelor",12.69,0.12,616,0
"male","Bachelor",7.49,0.12,475,0
"male","Associate",10.14,0.27,648,0
"male","Master",9.64,0.31,721,0
"female","Associate",14.91,0.12,584,1
"male","High School",11.86,0.1,606,0
"male","Associate",13.12,0.06,545,1
"male","Master",14.54,0.12,715,1
"female","Associate",11.22,0.37,687,1
"female","Master",11.86,0.12,658,0
"male","Associate",8.9,0.11,694,0
"male","High School",9.91,0.12,640,0
"female","Master",5.42,0.11,643,0
"male","High School",11.14,0.11,621,0
"male","Associate",10.28,0.11,619,0
"female","High School",12.72,0.2,583,0
"male","High School",7.14,0.1,632,0
"female","Bachelor",11.01,0.13,586,1
"male","Associate",11.11,0.11,636,0
"female","High School",7.88,0.15,592,0
"male","High School",15.95,0.13,614,1
"female","Associate",7.4,0.14,603,0
"male","Bachelor",15.23,0.13,625,0
"male","Master",11.86,0.2,694,0
"female","High School",7.68,0.1,463,0
"male","Master",11.71,0.1,666,0
"male","Associate",13.98,0.12,687,1
"female","Bachelor",13.8,0.1,676,0
"male","High School",12.99,0.1,628,0
"male","Associate",11.83,0.23,650,0
"female","Bachelor",13.85,0.1,698,0
"female","High School",11.89,0.09,602,0
"male","Master",9.63,0.13,661,0
"male","Associate",12.99,0.09,591,0
"male","High School",14.35,0.09,599,0
"female","Associate",13.22,0.09,524,0
"female","Master",11.03,0.09,639,0
"female","Associate",11.01,0.13,646,0
"female","Doctorate",14.65,0.09,656,0
"female","High School",7.51,0.09,544,0
"male","Bachelor",5.42,0.09,534,0
"female","Bachelor",17.99,0.1,672,1
"male","High School",7.14,0.07,691,0
"female","Bachelor",13.48,0.2,677,0
"male","Associate",13.06,0.09,656,0
"male","High School",11.01,0.34,667,0
"female","Master",7.51,0.09,601,0
"male","Associate",13.98,0.09,644,0
"male","Bachelor",13.22,0.09,689,0
"male","Bachelor",9.45,0.09,616,0
"male","Bachelor",9.25,0.09,549,0
"male","Associate",7.49,0.09,573,0
"male","High School",8.9,0.09,537,0
"female","Bachelor",11.99,0.16,590,0
"male","Bachelor",5.79,0.16,596,0
"female","Bachelor",9.63,0.19,538,0
"male","Associate",7.9,0.08,525,0
"male","Master",10,0.21,605,0
"female","High School",7.9,0.08,628,0
"male","High School",11.01,0.02,649,0
"male","Associate",14.27,0.09,567,1
"female","High School",6.17,0.42,635,0
"male","High School",15.23,0.09,517,1
"male","High School",12.61,0.2,593,0
"male","Associate",5.42,0.08,681,0
"male","Associate",5.79,0.16,646,0
"female","Master",12.98,0.08,675,0
"female","Bachelor",14.35,0.29,569,0
"female","High School",11.01,0.08,666,0
"female","Associate",7.88,0.15,583,0
"male","High School",9.88,0.08,667,0
"male","Bachelor",10.36,0.08,668,0
"female","Associate",11.36,0.08,650,0
"female","Master",7.14,0.2,667,0
"female","High School",11.01,0.32,678,0
"male","Master",15.96,0.08,644,0
"female","Associate",12.92,0.12,667,0
"male","Master",10.99,0.08,668,0
"male","High School",10.83,0.28,563,0
"male","High School",11.36,0.24,655,0
"male","High School",15.7,0.08,663,1
"female","Associate",11.01,0.09,608,1
"male","Associate",10.37,0.08,654,0
"female","Bachelor",12.68,0.08,663,0
"female","Master",11.01,0.08,655,0
"male","Bachelor",13.22,0.08,547,0
"male","Bachelor",9.99,0.08,672,0
"female","Bachelor",9.88,0.08,571,0
"female","Associate",6.92,0.07,649,0
"male","Bachelor",11.12,0.07,694,0
"male","High School",14.96,0.08,665,1
"male","Associate",6.03,0.12,606,0
"male","Master",7.9,0.07,617,0
"male","Bachelor",6.03,0.24,692,0
"male","High School",10.38,0.07,662,0
"male","Bachelor",6.03,0.14,563,0
"male","Bachelor",17.99,0.08,637,1
"male","Master",6.03,0.16,684,0
"male","Bachelor",15.62,0.07,561,1
"female","Master",7.9,0.07,704,0
"female","Bachelor",6.54,0.07,504,0
"female","Master",9.99,0.13,641,0
"female","Associate",7.14,0.06,684,0
"female","Associate",11.01,0.18,542,0
"female","High School",6.99,0.02,609,0
"female","Bachelor",13.72,0.06,679,0
"male","Associate",7.88,0.06,565,0
"female","High School",7.29,0.05,655,0
"female","High School",13.49,0.06,667,0
"male","High School",5.79,0.06,632,0
"male","High School",6.91,0.16,619,0
"female","High School",12.98,0.12,660,1
"male","Master",11.86,0.12,669,0
"male","Bachelor",10.75,0.06,647,0
"female","Bachelor",11.01,0.06,578,0
"female","Master",11.86,0.05,692,0
"male","High School",7.14,0.05,557,0
"female","High School",16.7,0.06,689,1
"female","Bachelor",15.21,0.06,612,1
"male","High School",12.21,0.05,596,0
"male","High School",15.33,0.2,628,0
"female","Master",9.88,0.18,688,0
"female","High School",14.96,0.2,651,0
"male","Associate",9.88,0.15,660,0
"female","Bachelor",9.62,0.05,640,0
"male","Bachelor",5.99,0.04,620,0
"female","Bachelor",9.62,0.04,610,0
"female","Master",10,0.04,704,0
"male","Associate",14.96,0.05,560,0
"female","Bachelor",11.01,0.04,654,0
"male","Associate",8.59,0.12,690,0
"female","Master",10.74,0.04,678,0
"female","Associate",11.01,0.04,643,0
"male","Associate",12.18,0.06,684,0
"male","Bachelor",7.74,0.1,678,0
"female","Bachelor",7.88,0.03,651,0
"male","High School",14.22,0.03,542,0
"male","Bachelor",9.32,0.12,616,0
"female","Bachelor",6.76,0.03,568,0
"female","Master",10.95,0.09,643,0
"female","Master",14.27,0.17,696,0
"male","Associate",6.62,0.1,672,0
"female","Associate",8.49,0.07,616,0
"male","Master",10.71,0.15,717,0
"male","Master",10.71,0.11,657,0
"male","Associate",13.72,0.18,662,0
"female","High School",10.75,0.48,644,0
"female","Bachelor",6.76,0.08,652,0
"female","Bachelor",11.01,0.24,615,0
"female","Associate",10.99,0.09,626,0
"male","Associate",10.95,0.32,650,0
"female","High School",9.32,0.2,656,0
"male","Master",13.22,0.1,648,1
"male","Bachelor",10.65,0.09,645,0
"male","Associate",19.69,0.09,654,0
"female","Master",12.99,0.11,678,0
"female","High School",6.03,0.11,692,0
"female","Associate",12.42,0.18,592,0
"male","Bachelor",13.99,0.09,547,0
"male","Bachelor",7.51,0.08,587,0
"female","Master",12.69,0.08,595,0
"female","Associate",11.83,0.32,651,0
"male","Associate",7.29,0.08,686,0
"male","High School",14.65,0.08,661,0
"male","Bachelor",11.48,0.16,479,0
"male","Associate",14.84,0.09,610,1
"female","Bachelor",9.32,0.08,599,0
"male","Bachelor",10.65,0.08,559,0
"male","Associate",7.51,0.08,622,0
"male","High School",6.62,0.08,649,0
"male","High School",17.88,0.09,640,1
"female","Master",16.4,0.08,599,0
"male","High School",17.93,0.09,616,1
"male","Bachelor",11.46,0.08,614,0
"male","High School",11.01,0.08,616,0
"female","Bachelor",11.01,0.14,671,0
"male","Bachelor",8.59,0.08,638,0
"female","Associate",8.38,0.08,541,0
"female","Bachelor",7.14,0.17,612,0
"male","High School",7.66,0.08,604,0
"female","High School",15.28,0.09,605,1
"male","Bachelor",13.11,0.03,654,0
"male","High School",16.4,0.08,653,1
"male","Bachelor",7.29,0.09,646,0
"female","High School",7.88,0.08,637,0
"male","Master",12.42,0.23,728,0
"female","Bachelor",10.59,0.13,605,0
"female","High School",13.43,0.14,512,0
"female","Master",13.72,0.07,666,0
"male","Bachelor",8.94,0.2,625,0
"female","Bachelor",15.05,0.06,658,0
"male","High School",8.94,0.07,624,0
"male","Bachelor",11.01,0.28,685,0
"male","Associate",5.99,0.08,588,0
"female","Bachelor",7.29,0.07,698,0
"male","Bachelor",11.12,0.39,671,0
"male","High School",7.51,0.1,540,0
"female","Bachelor",10.37,0.07,709,0
"female","High School",11.01,0.05,507,1
"male","High School",14.26,0.07,534,0
"female","High School",6.03,0.1,635,0
"female","Associate",6.76,0.06,687,0
"male","High School",6.91,0.05,480,0
"male","Master",11.71,0.07,683,0
"male","High School",9.99,0.07,626,0
"female","Bachelor",12.68,0.07,529,0
"female","Associate",13.35,0.08,618,1
"female","Master",7.88,0.07,610,0
"female","Bachelor",13.61,0.07,675,0
"female","Bachelor",11.01,0.09,614,1
"male","Bachelor",9.32,0.07,576,0
"male","Associate",11.66,0.07,665,0
"male","Associate",7.9,0.37,584,0
"male","Associate",10.65,0.07,677,0
"male","Associate",9.91,0.06,605,0
"male","High School",14.27,0.07,634,0
"male","High School",14.65,0.2,588,0
"male","Master",7.49,0.07,688,0
"male","Bachelor",7.49,0.06,539,0
"female","Bachelor",12.69,0.09,643,1
"male","Associate",14.27,0.11,618,1
"female","Bachelor",9.91,0.23,678,0
"male","High School",16.77,0.12,609,0
"male","High School",8.9,0.27,653,0
"male","High School",12.84,0.06,677,0
"female","Bachelor",13.49,0.29,661,0
"female","High School",9.99,0.06,617,0
"male","Bachelor",11.14,0.06,671,0
"female","Master",6.03,0.1,634,0
"male","Associate",6.62,0.15,610,0
"female","Associate",6.03,0.11,575,0
"male","Associate",11.01,0.09,629,0
"male","Associate",10.99,0.06,679,0
"female","Bachelor",9.91,0.07,592,0
"male","Bachelor",7.51,0.17,696,0
"female","Master",12.69,0.05,678,0
"male","Associate",11.01,0.35,602,0
"male","High School",8.94,0.05,549,0
"male","Bachelor",14.96,0.05,701,1
"female","High School",9.2,0.05,666,0
"female","Bachelor",8.9,0.06,586,0
"male","Associate",15.05,0.05,658,0
"male","Bachelor",13.67,0.03,664,1
"male","Bachelor",12.69,0.18,641,0
"male","Master",6.62,0.16,697,0
"male","High School",11.48,0.34,690,1
"male","Master",11.01,0.27,645,1
"female","Bachelor",13.11,0.18,720,0
"female","High School",11.48,0.14,612,0
"male","High School",6.03,0.06,626,0
"female","Associate",7.51,0.13,667,0
"male","Master",6.03,0.13,679,0
"female","Bachelor",10.99,0.11,615,0
"male","Master",6.03,0.19,601,0
"female","Associate",11.01,0.18,565,0
"female","High School",11.01,0.1,592,0
"male","Master",14.26,0.15,633,0
"male","Master",17.49,0.1,588,0
"male","Master",11.71,0.3,690,1
"male","Bachelor",7.29,0.27,645,1
"male","High School",10.99,0.16,585,0
"male","Associate",7.29,0.28,675,1
"female","Associate",11.01,0.24,660,1
"female","High School",10.36,0.22,641,0
"male","Master",7.88,0.17,659,0
"male","Associate",7.51,0.18,662,1
"male","Associate",6.99,0.23,580,0
"female","High School",13.11,0.18,657,1
"female","High School",11.49,0.02,593,0
"female","Associate",10.59,0.25,578,1
"female","Associate",6.17,0.15,613,0
"female","Master",13.49,0.13,707,0
"male","Bachelor",11.01,0.13,713,0
"male","Bachelor",11.01,0.13,682,0
"female","Bachelor",7.51,0.1,619,0
"female","High School",15.7,0.12,599,1
"male","Bachelor",11.01,0.14,590,0
"male","High School",10.25,0.09,548,0
"female","Bachelor",14.79,0.14,672,0
"female","Associate",8.9,0.08,670,0
"male","Associate",11.49,0.15,670,1
"female","High School",15.23,0.14,598,0
"female","Master",12.68,0.11,660,0
"female","High School",11.49,0.12,586,1
"female","Bachelor",14.72,0.1,697,0
"male","High School",12.99,0.29,664,0
"male","Master",12.99,0.12,702,0
"male","Master",6.99,0.1,636,0
"female","Bachelor",10.59,0.1,673,1
"male","Associate",8.49,0.08,555,0
"male","High School",8.94,0.08,587,0
"male","Bachelor",9.99,0.08,588,0
"male","Associate",11.01,0.07,670,0
"male","Bachelor",5.42,0.16,569,0
"male","Bachelor",9.99,0.06,678,0
"male","Associate",15.23,0.23,574,0
"male","High School",9.99,0.16,568,0
"male","High School",12.87,0.05,666,0
"male","High School",8.94,0.04,642,0
"male","Master",9.63,0.29,660,1
"female","Bachelor",8.9,0.26,680,1
"female","Associate",5.42,0.21,675,0
"female","Master",7.49,0.19,640,0
"male","Associate",15.23,0.09,628,1
"female","Associate",7.51,0.12,662,1
"female","High School",6.76,0.05,526,0
"male","High School",6.17,0.04,613,0
"male","Associate",5.42,0.12,545,0
"male","Associate",8.94,0.15,675,0
"female","Associate",17.51,0.14,655,1
"male","Associate",11.49,0.02,611,0
"female","High School",11.01,0.14,644,0
"female","High School",15.28,0.05,582,0
"female","Associate",13.72,0.15,608,1
"male","Bachelor",11.78,0.15,694,0
"male","Master",7.68,0.14,649,0
"male","Master",8.9,0.14,652,0
"female","Bachelor",6.91,0.14,558,0
"male","Bachelor",11.49,0.14,636,0
"female","Associate",6,0.15,652,0
"male","Bachelor",11.01,0.14,607,0
"female","Associate",13.11,0.14,565,0
"male","Master",14.84,0.14,684,0
"female","High School",10.99,0.14,625,0
"male","Bachelor",7.66,0.14,696,0
"female","Bachelor",11.12,0.14,475,1
"male","Associate",7.29,0.05,681,0
"male","Associate",12.42,0.14,546,1
"female","High School",7.9,0.14,604,0
"male","High School",11.11,0.43,659,0
"female","Associate",12.69,0.13,580,1
"female","Associate",11.01,0.14,531,0
"male","Bachelor",11.01,0.24,608,1
"male","High School",11.01,0.14,641,0
"male","Associate",12.99,0.14,660,1
"male","Master",7.66,0.17,685,0
"male","High School",11.01,0.14,665,0
"male","High School",8.88,0.14,614,1
